Year;Rank;Country;Documents;Citable.documents;Citations;Self.Citations;Citations.per.Document;H.index
1996;1;United States;330949;323888;10983899;5185422;33,19;1648
1996;2;Japan;84906;83821;1544079;465438;18,19;745
1996;3;United Kingdom;83480;79642;2332644;536578;27,94;1015
1996;4;Germany;72808;71879;1805509;456854;24,8;887
1996;5;France;54427;53403;1326772;296085;24,38;811
1996;6;Canada;41167;40518;1236831;220613;30,04;794
1996;7;Italy;37726;36854;813869;180883;21,57;713
1996;8;Russian Federation;31482;31425;247578;71253;7,86;390
1996;9;China;28704;28630;214736;88489;7,48;495
1996;10;Spain;23597;22936;475054;118062;20,13;591
1996;11;Australia;23480;22865;613248;122002;26,12;644
1996;12;Netherlands;22248;21844;695138;109782;31,24;694
1996;13;India;20625;20335;234797;81357;11,38;383
1996;14;Sweden;16206;15958;516965;86670;31,9;614
1996;15;Switzerland;15136;14904;525831;65548;34,74;686
1996;16;Poland;11593;11554;140274;38932;12,1;371
1996;17;Belgium;11119;10896;298926;39846;26,88;547
1996;18;Taiwan;10357;10277;158756;32735;15,33;331
1996;19;Israel;10317;10103;289207;38732;28,03;496
1996;20;South Korea;10101;10032;145696;28156;14,42;424
1996;21;Brazil;8741;8652;140208;43702;16,04;379
1996;22;Denmark;7851;7705;251314;36202;32,01;518
1996;23;Finland;7505;7424;211326;35648;28,16;443
1996;24;Austria;7453;7320;207156;25578;27,79;449
1996;25;Norway;5817;5736;140948;23676;24,23;402
1996;26;Ukraine;5673;5670;28823;7781;5,08;174
1996;27;Turkey;5628;5440;61745;17486;10,97;266
1996;28;Greece;5012;4940;85704;16325;17,1;326
1996;29;Czech Republic;4876;4860;62379;15166;12,79;294
1996;30;New Zealand;4620;4540;128808;19166;27,88;351
1996;31;Mexico;4558;4515;72672;15899;15,94;289
1996;32;Hungary;4377;4287;72192;13670;16,49;301
1996;33;South Africa;4289;4189;68030;14696;15,86;292
1996;34;Hong Kong;4278;4186;81762;11320;19,11;359
1996;35;Argentina;4074;4036;62820;15482;15,42;273
1996;36;Singapore;2861;2827;50764;5723;17,74;349
1996;37;Egypt;2808;2796;29278;5721;10,43;165
1996;38;Portugal;2693;2662;46042;9816;17,1;297
1996;39;Ireland;2646;2573;61775;6216;23,35;332
1996;40;Slovakia;2430;2413;27431;6184;11,29;180
1996;41;Bulgaria;2221;2212;24341;4180;10,96;167
1996;42;Saudi Arabia;1959;1913;20640;2758;10,54;164
1996;43;Romania;1893;1882;16442;4003;8,69;167
1996;44;Chile;1717;1708;32223;6078;18,77;233
1996;45;Croatia;1678;1663;13459;3434;8,02;177
1996;46;Slovenia;1421;1406;18045;3819;12,7;189
1996;47;Belarus;1333;1332;7478;1600;5,61;122
1996;48;Thailand;1204;1186;21217;3340;17,62;213
1996;49;Nigeria;1050;1045;8995;2154;8,57;115
1996;50;Venezuela;994;984;13735;2146;13,82;155
1996;51;Malaysia;962;940;13253;2107;13,78;165
1996;52;Pakistan;886;874;7872;1881;8,88;148
1996;53;Iran;829;819;10292;3488;12,41;180
