"CodeCli";"Societe";"Contact";"Fonction";"Adresse";"Ville";"Region";"CodePostal";"Pays";"Tel";"Fax"
"ALFKI";"Alfreds Futterkiste";"Maria Anders";"Représentant(e)";"Obere Str. 57";"Berlin";;"12209";"Allemagne";"030-0074321";"030-0076545"
"ANATR";"Ana Trujillo Emparedados y helados";"Ana Trujillo";"Propriétaire";"Avda. de la Constitución 2222";"México D.F.";;"05021";"Mexique";"(5) 555-4729";"(5) 555-3745"
"ANTON";"Antonio Moreno Taquería";"Antonio Moreno";"Propriétaire";"Mataderos  2312";"México D.F.";;"05023";"Mexique";"(5) 555-3932";
"AROUT";"Around the Horn";"Thomas Hardy";"Représentant(e)";"120 Hanover Sq.";"London";;"WA1 1DP";"Royaume-Uni";"(71) 555-7788";"(71) 555-6750"
"BERGS";"Berglunds snabbköp";"Christina Berglund";"Acheteur";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suède";"0921-12 34 65";"0921-12 34 67"
"BLAUS";"Blauer See Delikatessen";"Hanna Moos";"Représentant(e)";"Forsterstr. 57";"Mannheim";;"68306";"Allemagne";"0621-08460";"0621-08924"
"BLONP";"Blondel père et fils";"Frédérique Citeaux";"Directeur du marketing";"24, place Kléber";"Strasbourg";;"67000";"France";"88.60.15.31";"88.60.15.32"
"BOLID";"Bólido Comidas preparadas";"Martín Sommer";"Propriétaire";"C/ Araquil, 67";"Madrid";;"28023";"Espagne";"(91) 555 22 82";"(91) 555 91 99"
"BONAP";"Bon app'";"Laurence Lebihan";"Propriétaire";"12, rue des Bouchers";"Marseille";;"13008";"France";"91.24.45.40";"91.24.45.41"
"BOTTM";"Bottom-Dollar Markets";"Elizabeth Lincoln";"Chef comptable";"23 Tsawassen Blvd.";"Tsawassen";"BC";"T2F 8M4";"Canada";"(604) 555-4729";"(604) 555-3745"
"BSBEV";"B's Beverages";"Victoria Ashworth";"Représentant(e)";"Fauntleroy Circus";"London";;"EC2 5NT";"Royaume-Uni";"(71) 555-1212";
"CACTU";"Cactus Comidas para llevar";"Patricio Simpson";"Assistant(e) des ventes";"Cerrito 333";"Buenos Aires";;"1010";"Argentine";"(1) 135-5555";"(1) 135-4892"
"CENTC";"Centro comercial Moctezuma";"Francisco Chang";"Directeur du marketing";"Sierras de Granada 9993";"México D.F.";;"05022";"Mexique";"(5) 555-3392";"(5) 555-7293"
"CHOPS";"Chop-suey Chinese";"Yang Wang";"Propriétaire";"Hauptstr. 29";"Bern";;"3012";"Suisse";"0452-076545";
