;amie;ando;ange;bale;laba;besa;bord;boul;bour;bres;brux;caen;cala;cham;cher;clem;dijo;gene;gren;leha;hend;lill;limo;lour;luxe;lyon;lema;mars;metz;mont;mulh;nanc;nant;nice;orle;pari;perp;poit;reim;renn;roue;roya;stma;stra;toul;tour;troy
amie;0;1020,000;440,000;560,000;590,000;560,000;730,000;120,000;380,000;610,000;210,000;240,000;160,000;760,000;360,000;530,000;460,000;680,000;710,000;180,000;940,000;120,000;540,000;940,000;330,000;610,000;350,000;920,000;350,000;910,000;530,000;360,000;530,000;1080,000;280,000;150,000;1050,000;480,000;160,000;410,000;110,000;650,000;400,000;500,000;850,000;380,000;280,000
ando;1020,000;0;760,000;1130,000;830,000;970,000;430,000;1020,000;680,000;1130,000;1200,000;950,000;1080,000;750,000;1030,000;580,000;800,000;720,000;600,000;1030,000;440,000;1090,000;490,000;270,000;1090,000;590,000;730,000;470,000;1160,000;320,000;990,000;1010,000;740,000;650,000;750,000;880,000;170,000;610,000;1020,000;850,000;980,000;550,000;920,000;1110,000;190,000;700,000;910,000
ange;440,000;760,000;0;770,000;160,000;620,000;340,000;480,000;260,000;380,000;600,000;220,000;580,000;720,000;290,000;410,000;520,000;640,000;640,000;320,000;550,000;510,000;260,000;590,000;650,000;540,000;94,000;850,000;620,000;690,000;740,000;580,000;87,000;1000,000;210,000;290,000;770,000;140,000;430,000;120,000;290,000;300,000;200,000;780,000;570,000;110,000;430,000
bale;560,000;1130,000;770,000;0;940,000;160,000;840,000;690,000;500,000;1090,000;560,000;800,000;690,000;350,000;920,000;480,000;260,000;250,000;400,000;760,000;1050,000;630,000;600,000;1080,000;320,000;400,000;710,000;680,000;270,000;660,000;34,000;210,000;830,000;880,000;560,000;560,000;840,000;690,000;410,000;840,000;690,000;890,000;900,000;150,000;930,000;670,000;330,000
laba;590,000;830,000;160,000;940,000;0;770,000;400,000;550,000;430,000;270,000;760,000;350,000;730,000;900,000;390,000;550,000;690,000;800,000;840,000;470,000;610,000;680,000;380,000;640,000;860,000;700,000;250,000;1040,000;760,000;880,000;900,000;770,000;73,000;1170,000;380,000;480,000;840,000;260,000;600,000;160,000;450,000;290,000;190,000;940,000;620,000;270,000;600,000
besa;560,000;970,000;620,000;160,000;770,000;0;700,000;610,000;350,000;960,000;550,000;640,000;610,000;260,000;760,000;340,000;94,000;180,000;290,000;610,000;910,000;530,000;470,000;940,000;310,000;250,000;560,000;560,000;260,000;550,000;140,000;200,000;710,000;720,000;400,000;410,000;700,000;610,000;320,000;710,000;550,000;680,000;790,000;240,000;780,000;520,000;240,000
bord;730,000;430,000;340,000;840,000;400,000;700,000;0;830,000;400,000;620,000;890,000;580,000;870,000;790,000;630,000;370,000;640,000;690,000;660,000;650,000;210,000;800,000;220,000;240,000;960,000;550,000;410,000;650,000;900,000;480,000;820,000;840,000;330,000;800,000;460,000;580,000;450,000;250,000;710,000;430,000;620,000;120,000;510,000;930,000;240,000;350,000;650,000
boul;120,000;1020,000;480,000;690,000;550,000;610,000;830,000;0;480,000;690,000;260,000;300,000;34,000;870,000;420,000;630,000;560,000;790,000;810,000;240,000;1060,000;120,000;640,000;1070,000;400,000;700,000;370,000;1020,000;480,000;1010,000;660,000;490,000;550,000;1180,000;380,000;240,000;1160,000;580,000;280,000;480,000;180,000;680,000;460,000;640,000;950,000;480,000;430,000
bour;380,000;680,000;260,000;500,000;430,000;350,000;400,000;480,000;0;630,000;550,000;360,000;530,000;480,000;490,000;190,000;250,000;380,000;390,000;380,000;620,000;460,000;190,000;580,000;480,000;280,000;230,000;590,000;450,000;570,000;470,000;400,000;350,000;740,000;110,000;240,000;660,000;190,000;330,000;380,000;330,000;340,000;450,000;580,000;500,000;150,000;220,000
bres;610,000;1130,000;380,000;1090,000;270,000;960,000;620,000;690,000;630,000;0;910,000;370,000;720,000;1050,000;390,000;750,000;860,000;1080,000;1110,000;480,000;840,000;810,000;600,000;910,000;940,000;1000,000;400,000;1320,000;920,000;1090,000;1080,000;880,000;300,000;1470,000;550,000;600,000;1060,000;480,000;730,000;240,000;500,000;530,000;230,000;1080,000;850,000;480,000;730,000
