NUM;Z1;Z2;Z3;Z4
1;22,00;35,00;24,00;19,00
2;24,00;31,00;21,00;22,00
3;27,00;36,00;25,00;15,00
4;27,00;36,00;24,00;23,00
5;21,00;33,00;23,00;18,00
6;26,00;35,00;23,00;32,00
7;27,00;37,00;26,00;15,00
8;22,00;30,00;19,00;20,00
9;25,00;33,00;22,00;22,00
10;30,00;41,00;28,00;17,00
11;24,00;39,00;27,00;21,00
12;29,00;39,00;27,00;17,00
13;29,00;40,00;27,00;17,00
14;28,00;36,00;23,00;24,00
15;22,00;36,00;24,00;20,00
16;23,00;30,00;20,00;20,00
17;28,00;38,00;26,00;16,00
18;25,00;34,00;23,00;14,00
19;26,00;35,00;24,00;15,00
20;23,00;37,00;25,00;20,00
21;31,00;42,00;29,00;18,00
22;26,00;34,00;22,00;21,00
23;24,00;38,00;26,00;21,00
