"";"AGE";"SEXE";"REGION";"STAT_MARI";"SAL_HOR";"SYNDICAT";"CATEGORIE";"NIV_ETUDES";"NB_PERS";"NB_ENF";"REV_FOYER"
"1";58;"F";"NE";"C";13,25;"non";"Employe";"BAC+3";2;0;"40 - < 60"
"2";40;"M";"W";"M";12,5;NA;"Construction et Maintenance";"Sans diplome";2;0;"< 40"
"3";29;"M";"S";"C";14;NA;"Employe";"BAC+2";2;0;">= 100"
"4";59;"M";"NE";"D";10,6;NA;"Transports et Service";"BAC";4;1;"< 40"
"5";51;"M";"W";"M";13;NA;"Transports et Service";"Sans diplome";8;1;">= 100"
"6";19;"M";NA;"C";NA;"non";NA;NA;NA;NA;NA
"7";64;"F";"S";"M";19,57;NA;"Production et Agriculture";"BAC";3;0;"60 - < 100"
"8";23;"F";"NE";"C";13;NA;"Profession liberale";"BAC+3";2;0;"40 - < 60"
"9";47;"M";"NW";"M";20,1;"oui";"Construction et Maintenance";"BAC";3;0;"40 - < 60"
"10";66;"F";"S";"D";12,5;"non";"Employe";"BAC";1;0;"< 40"
"11";26;"M";"NE";"M";9,96;NA;"Gestion et Vente";"BAC+2";3;0;"< 40"
"12";23;"F";"NE";"C";14;"non";"Employe";"BAC";2;0;"< 40"
"13";54;"F";NA;NA;NA;NA;NA;NA;NA;NA;NA
"14";44;"F";"NW";"C";14,5;NA;"Gestion et Vente";"BAC";5;0;"40 - < 60"
"15";56;"F";"S";"M";15,04;NA;"Gestion et Vente";"BAC+3";4;0;"60 - < 100"
"16";43;"F";NA;NA;NA;NA;NA;NA;4;NA;NA
"17";23;"F";"NW";"S";NA;NA;"Employe";"BAC";3;0;"60 - < 100"
"18";32;"M";"NW";"M";NA;NA;"Production et Agriculture";"BAC";2;0;"< 40"
"19";32;"M";"S";"S";NA;NA;"Gestion et Vente";"BAC";3;0;"60 - < 100"
"20";27;"F";"NE";"C";22;NA;"Gestion et Vente";"BAC+3";2;0;">= 100"
"21";36;"F";"NE";"M";40,24;NA;"Gestion et Vente";"BAC+5";4;2;">= 100"
"22";56;"M";"NW";"D";NA;"non";"Profession liberale";"BAC";1;0;"< 40"
"23";47;"F";"NW";"M";25,75;NA;"Employe";"BAC+2";3;0;"40 - < 60"
"24";46;"M";"NW";"M";12;NA;"Profession liberale";"BAC+2";2;0;">= 100"
"25";58;"M";"NW";"M";31,5;NA;"Construction et Maintenance";"BAC+2";3;0;"60 - < 100"
"26";38;"F";"S";"M";19;NA;"Gestion et Vente";"BAC";2;0;"< 40"
"27";28;"F";"S";"C";18;NA;"Employe";"BAC+3";3;0;">= 100"
"28";57;"F";"W";"C";22,79;NA;"Transports et Service";"BAC";1;0;"< 40"
"29";32;"F";"W";"C";25;NA;"Gestion et Vente";"BAC+2";2;0;"60 - < 100"
"30";16;"M";NA;"C";NA;NA;"Gestion et Vente";NA;NA;NA;NA
"31";31;"M";"NW";"M";17,1;NA;"Construction et Maintenance";"BAC+2";5;1;">= 100"
"32";60;"M";"S";"M";8;NA;"Transports et Service";"BAC";4;0;"40 - < 60"
