"NoCom";"CodeCli";"NoEmp";"DateCom";"ALivAvant";"DateEnv";"NoMess";"Port";"Destinataire";"AdrLiv";"VilleLiv";"RegionLiv";"CodepostalLiv";"PaysLiv"
10248;"VINET";5;4/8/1994 00:00:00;1/9/1994 00:00:00;16/8/1994 00:00:00;3;162;"Vins et alcools Chevalier";"59 rue de l'Abbaye";"Reims";;"51100";"France"
10249;"TOMSP";6;5/8/1994 00:00:00;16/9/1994 00:00:00;10/8/1994 00:00:00;1;58;"Toms Spezialitäten";"Luisenstr. 48";"Münster";;"44087";"Allemagne"
10250;"HANAR";4;8/8/1994 00:00:00;5/9/1994 00:00:00;12/8/1994 00:00:00;2;329;"Hanari Carnes";"Rua do Paço, 67";"Rio de Janeiro";"RJ";"05454-876";"Brésil"
10251;"VICTE";3;8/8/1994 00:00:00;5/9/1994 00:00:00;15/8/1994 00:00:00;1;207;"Victuailles en stock";"2, rue du Commerce";"Lyon";;"69004";"France"
10252;"SUPRD";4;9/8/1994 00:00:00;6/9/1994 00:00:00;11/8/1994 00:00:00;2;256;"Suprêmes délices";"Boulevard Tirou, 255";"Charleroi";;"B-6000";"Belgique"
10253;"HANAR";3;10/8/1994 00:00:00;24/8/1994 00:00:00;16/8/1994 00:00:00;2;291;"Hanari Carnes";"Rua do Paço, 67";"Rio de Janeiro";"RJ";"05454-876";"Brésil"
10254;"CHOPS";5;11/8/1994 00:00:00;8/9/1994 00:00:00;23/8/1994 00:00:00;2;115;"Chop-suey Chinese";"Hauptstr. 31";"Bern";;"3012";"Suisse"
10255;"RICSU";9;12/8/1994 00:00:00;9/9/1994 00:00:00;15/8/1994 00:00:00;3;742;"Richter Supermarkt";"Starenweg 5";"Genève";;"1204";"Suisse"
10256;"WELLI";3;15/8/1994 00:00:00;12/9/1994 00:00:00;17/8/1994 00:00:00;2;70;"Wellington Importadora";"Rua do Mercado, 12";"Resende";"SP";"08737-363";"Brésil"
10257;"HILAA";4;16/8/1994 00:00:00;13/9/1994 00:00:00;22/8/1994 00:00:00;3;410;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10258;"ERNSH";1;17/8/1994 00:00:00;14/9/1994 00:00:00;23/8/1994 00:00:00;1;703;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Autriche"
10259;"CENTC";4;18/8/1994 00:00:00;15/9/1994 00:00:00;25/8/1994 00:00:00;3;16;"Centro comercial Moctezuma";"Sierras de Granada 9993";"México D.F.";;"05022";"Mexique"
10260;"OTTIK";4;19/8/1994 00:00:00;16/9/1994 00:00:00;29/8/1994 00:00:00;1;275;"Ottilies Käseladen";"Mehrheimerstr. 369";"Köln";;"50739";"Allemagne"
10261;"QUEDE";4;19/8/1994 00:00:00;16/9/1994 00:00:00;30/8/1994 00:00:00;2;15;"Que Delícia";"Rua da Panificadora, 12";"Rio de Janeiro";"RJ";"02389-673";"Brésil"
10262;"RATTC";8;22/8/1994 00:00:00;19/9/1994 00:00:00;25/8/1994 00:00:00;3;241;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"Etats-Unis"
10263;"ERNSH";9;23/8/1994 00:00:00;20/9/1994 00:00:00;31/8/1994 00:00:00;3;730;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Autriche"
10264;"FOLKO";6;24/8/1994 00:00:00;21/9/1994 00:00:00;23/9/1994 00:00:00;3;18;"Folk och fä HB";"Åkergatan 24";"Bräcke";;"S-844 67";"Suède"
10265;"BLONP";2;25/8/1994 00:00:00;22/9/1994 00:00:00;12/9/1994 00:00:00;1;276;"Blondel père et fils";"24, place Kléber";"Strasbourg";;"67000";"France"
10266;"WARTH";3;26/8/1994 00:00:00;7/10/1994 00:00:00;31/8/1994 00:00:00;3;129;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlande"
10267;"FRANK";4;29/8/1994 00:00:00;26/9/1994 00:00:00;6/9/1994 00:00:00;1;1043;"Frankenversand";"Berliner Platz 43";"München";;"80805";"Allemagne"
10268;"GROSR";8;30/8/1994 00:00:00;27/9/1994 00:00:00;2/9/1994 00:00:00;3;331;"GROSELLA-Restaurante";"5ª Ave. Los Palos Grandes";"Caracas";"DF";"1081";"Venezuela"
10269;"WHITC";5;31/8/1994 00:00:00;14/9/1994 00:00:00;9/9/1994 00:00:00;1;23;"White Clover Markets";"1029 - 12th Ave. S.";"Seattle";"WA";"98124";"Etats-Unis"
10270;"WARTH";1;1/9/1994 00:00:00;29/9/1994 00:00:00;2/9/1994 00:00:00;1;683;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlande"
10271;"SPLIR";6;1/9/1994 00:00:00;29/9/1994 00:00:00;30/9/1994 00:00:00;2;23;"Split Rail Beer & Ale";"P.O. Box 555";"Lander";"WY";"82520";"Etats-Unis"
10272;"RATTC";6;2/9/1994 00:00:00;30/9/1994 00:00:00;6/9/1994 00:00:00;2;490;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"Etats-Unis"
10273;"QUICK";3;5/9/1994 00:00:00;3/10/1994 00:00:00;12/9/1994 00:00:00;3;380;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Allemagne"
10274;"VINET";6;6/9/1994 00:00:00;4/10/1994 00:00:00;16/9/1994 00:00:00;1;30;"Vins et alcools Chevalier";"59 rue de l'Abbaye";"Reims";;"51100";"France"
10275;"MAGAA";1;7/9/1994 00:00:00;5/10/1994 00:00:00;9/9/1994 00:00:00;1;135;"Magazzini Alimentari Riuniti";"Via Ludovico il Moro 22";"Bergamo";;"24100";"Italie"
10276;"TORTU";8;8/9/1994 00:00:00;22/9/1994 00:00:00;14/9/1994 00:00:00;3;69;"Tortuga Restaurante";"Avda. Azteca 123";"México D.F.";;"05033";"Mexique"
10277;"MORGK";2;9/9/1994 00:00:00;7/10/1994 00:00:00;13/9/1994 00:00:00;3;629;"Morgenstern Gesundkost";"Heerstr. 22";"Leipzig";;"04179";"Allemagne"
10278;"BERGS";8;12/9/1994 00:00:00;10/10/1994 00:00:00;16/9/1994 00:00:00;2;463;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suède"
10279;"LEHMS";8;13/9/1994 00:00:00;11/10/1994 00:00:00;16/9/1994 00:00:00;2;129;"Lehmanns Marktstand";"Magazinweg 7";"Frankfurt a.M. ";;"60528";"Allemagne"
10280;"BERGS";2;14/9/1994 00:00:00;12/10/1994 00:00:00;13/10/1994 00:00:00;1;45;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suède"
10281;"ROMEY";4;14/9/1994 00:00:00;28/9/1994 00:00:00;21/9/1994 00:00:00;1;15;"Romero y tomillo";"Gran Vía, 1";"Madrid";;"28001";"Espagne"
10282;"ROMEY";4;15/9/1994 00:00:00;13/10/1994 00:00:00;21/9/1994 00:00:00;1;63;"Romero y tomillo";"Gran Vía, 1";"Madrid";;"28001";"Espagne"
10283;"LILAS";3;16/9/1994 00:00:00;14/10/1994 00:00:00;23/9/1994 00:00:00;3;424;"LILA-Supermercado";"Carrera 52 con Ave. Bolívar #65-98 Llano Largo";"Barquisimeto";"Lara";"3508";"Venezuela"
10284;"LEHMS";4;19/9/1994 00:00:00;17/10/1994 00:00:00;27/9/1994 00:00:00;1;383;"Lehmanns Marktstand";"Magazinweg 7";"Frankfurt a.M. ";;"60528";"Allemagne"
