"Nocom";"Refprod";"PrixUnit";"Qte";"Remise%"
10248;11;70;12;0.00
10248;42;49;10;0.00
10248;72;174;5;0.00
10249;14;93;9;0.00
10249;51;212;40;0.00
10250;41;38;10;0.00
10250;51;212;35;0.15
10250;65;84;15;0.15
10251;22;84;6;0.05
10251;57;78;15;0.05
10251;65;84;20;0.00
10252;20;324;40;0.05
10252;33;10;25;0.05
10252;60;136;40;0.00
10253;31;50;20;0.00
10253;39;72;42;0.00
10253;49;80;40;0.00
10254;24;18;15;0.15
10254;55;96;21;0.15
10254;74;40;21;0.00
10255;2;76;20;0.00
10255;16;70;35;0.00
10255;36;76;25;0.00
10255;59;220;30;0.00
10256;53;131;15;0.00
10256;77;52;12;0.00
10257;27;176;25;0.00
10257;39;72;6;0.00
10257;77;52;15;0.00
10258;2;76;50;0.20
10258;5;85;65;0.20
10258;32;128;6;0.20
10259;21;40;10;0.00
10259;37;104;1;0.00
10260;41;38;16;0.25
10260;57;78;50;0.00
10260;62;197;15;0.25
10260;70;60;21;0.25
10261;21;40;20;0.00
10261;35;72;20;0.00
10262;5;85;12;0.20
10262;7;120;15;0.00
10262;56;152;2;0.00
10263;16;70;60;0.25
10263;24;18;28;0.00
10263;30;104;60;0.25
10263;74;40;36;0.25
10264;2;76;35;0.00
10264;41;38;25;0.15
10265;17;156;30;0.00
10265;70;60;20;0.00
10266;12;152;12;0.05
10267;40;74;50;0.00
10267;59;220;70;0.15
10267;76;72;15;0.15
10268;29;495;10;0.00
10268;72;139;4;0.00
10269;33;10;60;0.05
10269;72;139;20;0.05
10270;36;76;30;0.00
10270;43;184;25;0.00
10271;33;10;24;0.00
10272;20;324;6;0.00
10272;31;50;40;0.00
10272;72;139;24;0.00
10273;10;124;24;0.05
10273;31;50;15;0.05
10273;33;10;20;0.00
10273;40;74;60;0.05
10273;76;72;33;0.05
10274;71;86;20;0.00
10274;72;139;7;0.00
10275;24;18;12;0.05
10275;59;220;6;0.05
10276;10;124;15;0.00
10276;13;24;10;0.00
10277;28;182;20;0.00
10277;62;197;12;0.00
10278;44;78;16;0.00
10278;59;220;15;0.00
10278;63;176;8;0.00
10278;73;60;25;0.00
10279;17;156;15;0.25
10280;24;18;12;0.00
10280;55;96;20;0.00
10280;75;31;30;0.00
10281;19;36;1;0.00
10281;24;18;6;0.00
10281;35;72;4;0.00
10282;30;104;6;0.00
10282;57;78;2;0.00
10283;15;62;20;0.00
10283;19;36;18;0.00
10283;60;136;35;0.00
10283;72;139;3;0.00
10284;27;176;15;0.25
10284;44;78;21;0.00
10284;60;136;20;0.25
10284;67;56;5;0.25
10285;1;72;45;0.20
10285;40;74;40;0.20
10285;53;131;36;0.20
10286;35;72;100;0.00
10286;62;197;40;0.00
10287;16;70;40;0.15
10287;34;56;20;0.00
10287;46;48;15;0.15
10288;54;30;10;0.10
10288;68;50;3;0.10
10289;3;40;30;0.00
