"NoFour";"Societe";"Contact";"Fonction";"Adresse";"Ville";"Region";"CodePostal";"Pays";"Tel";"Fax";"PageAccueil"
1;"Exotic Liquids";"Charlotte Cooper";"Assistant export";"49 Gilbert St.";"London";;"EC1 4SD";"Royaume-Uni";"(171) 555-2222";;
2;"New Orleans Cajun Delights";"Shelley Burke";"Acheteur";"P.O. Box 78934";"New Orleans";"LA";"70117";"Etats-Unis";"(100) 555-4822";;"Cajun.htm#CAJUN.HTM#"
3;"Grandma Kelly's Homestead";"Regina Murphy";"Représentant(e)";"707 Oxford Rd.";"Ann Arbor";"MI";"48104";"Etats-Unis";"(313) 555-5735";"(313) 555-3349";
4;"Tokyo Traders";"Yoshi Nagase";"Directeur du marketing";"9-8 Sekimai
Musashino-shi";"Tokyo";;"100";"Japon";"(03) 3555-5011";;
5;"Cooperativa de Quesos 'Las Cabras'";"Antonio del Valle Saavedra ";"Responsable export";"Calle del Rosal 4";"Oviedo";"Asturias";"33007";"Espagne";"(98) 598 76 54";;
6;"Mayumi's";"Mayumi Ohno";"Chef de produit";"92 Setsuko
Chuo-ku";"Osaka";;"545";"Japon";"(06) 431-7877";;"Mayumi's (sur le World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#"
7;"Pavlova, Ltd.";"Ian Devling";"Directeur du marketing";"74 Rose St.
Moonie Ponds";"Melbourne";"Victoria";"3058";"Australie";"(059) 55-5450";"(03) 444-6588";
8;"Specialty Biscuits, Ltd.";"Peter Wilson";"Représentant(e)";"29 King's Way";"Manchester";;"M14 GSD";"Royaume-Uni";"(161) 555-4448";;
9;"PB Knäckebröd AB";"Lars Peterson";"Assistant(e) des ventes";"Kaloadagatan 13";"Göteborg";;"S-345 67";"Suède";"031-987 65 43";"031-987 65 91";
10;"Refrescos Americanas LTDA";"Carlos Diaz";"Directeur du marketing";"Av. das Americanas 12.890";"São Paulo";;"5442";"Brésil";"(11) 555 4640";;
11;"Heli Süßwaren GmbH & Co. KG";"Petra Winkler";"Chef des ventes";"Tiergartenstraße 5";"Berlin";;"10785";"Allemagne";"(010) 9984510";;
12;"Plutzer Lebensmittelgroßmärkte AG";"Martin Bein";"Directeur du marketing international";"Bogenallee 51";"Frankfurt";;"60439";"Allemagne";"(069) 992755";;"Plutzer (sur le World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#"
