numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20161019120000;102010;-80;8;300;6.000000;286.050000;282.150000;77;40000;3;2;2;90;7;800;38;mq;mq;101140;mq;mq;-80;mq;mq;mq;mq;282.850000;mq;mq;8.900000;11.400000;-10;1;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;2.200000;mq;mq;mq;mq;4;8;600;7;6;1500;mq;mq;mq;mq;mq;mq;
07015;20161019120000;101780;-100;8;300;7.000000;284.750000;281.950000;83;10270;61;mq;mq;100;7;800;mq;mq;mq;101210;mq;mq;-200;mq;mq;mq;mq;279.650000;mq;mq;10.100000;12.500000;-10;2;mq;mq;mq;0.600000;0.600000;0.600000;0.600000;2.400000;mq;mq;mq;mq;7;mq;660;7;mq;1140;7;mq;1380;mq;8;mq;
07020;20161019120000;102430;-60;8;320;7.600000;287.050000;281.250000;68;16000;2;2;mq;90;6;800;35;27;mq;102160;mq;mq;10;mq;mq;mq;mq;mq;mq;mq;10.100000;10.400000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;3;8;600;3;6;800;1;3;2500;mq;mq;mq;
07027;20161019120000;102280;-100;8;300;6.500000;286.350000;280.950000;70;40000;2;2;2;90;7;1250;38;mq;mq;101470;mq;mq;-60;mq;mq;mq;mq;277.450000;mq;mq;9.300000;9.300000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;1.800000;mq;mq;mq;mq;2;8;1000;7;6;1740;mq;mq;mq;mq;mq;mq;
07037;20161019120000;102110;-140;8;290;5.900000;285.550000;280.050000;69;40000;1;2;2;75;6;800;38;20;10;100280;mq;mq;-160;mq;mq;mq;mq;278.650000;mq;mq;8.300000;10.300000;-10;mq;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.200000;0.600000;mq;mq;mq;mq;1;8;840;5;6;1740;mq;mq;mq;mq;mq;mq;
07072;20161019120000;101960;-170;8;270;5.500000;285.550000;281.850000;78;20000;0;mq;mq;100;5;800;mq;mq;mq;100810;mq;mq;-370;mq;mq;mq;mq;278.650000;mq;mq;9.100000;9.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;2.400000;mq;mq;mq;mq;4;mq;600;5;mq;840;5;mq;990;mq;mq;mq;
07110;20161019120000;102560;-80;8;10;3.100000;285.450000;280.950000;74;55570;0;mq;mq;100;8;800;mq;mq;mq;101410;mq;mq;-100;mq;mq;mq;mq;276.250000;mq;mq;5.000000;5.000000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.600000;mq;mq;mq;mq;3;mq;690;5;mq;870;5;mq;1020;mq;mq;mq;
07117;20161019120000;102510;-70;8;340;3.900000;286.650000;279.750000;63;20000;2;2;2;90;7;800;35;mq;mq;101810;mq;mq;-70;mq;mq;mq;mq;mq;mq;mq;6.300000;7.400000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;0.400000;mq;mq;mq;mq;7;6;800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20161019120000;102470;-110;8;340;1.600000;285.150000;282.350000;83;11910;61;mq;mq;100;8;450;mq;mq;mq;102020;mq;mq;-110;mq;mq;mq;mq;277.550000;mq;mq;2.900000;2.900000;-10;mq;mq;mq;mq;-0.100000;0.400000;0.400000;0.400000;0.800000;mq;mq;mq;mq;1;mq;480;6;mq;720;8;mq;990;mq;mq;mq;
07139;20161019120000;102320;-150;8;280;5.100000;285.850000;280.350000;69;20000;0;mq;mq;100;8;1750;mq;mq;mq;100570;mq;mq;-190;mq;mq;mq;mq;279.050000;mq;mq;7.600000;8.100000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.600000;mq;mq;mq;mq;8;mq;1800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20161019120000;102140;-160;8;270;5.800000;286.350000;281.250000;71;36030;3;2;2;90;7;800;38;mq;mq;101060;mq;mq;-250;mq;mq;mq;mq;mq;mq;mq;8.700000;8.700000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;1;8;700;6;6;1600;mq;mq;mq;mq;mq;mq;
07168;20161019120000;102110;-160;8;260;6.400000;286.050000;281.150000;72;20000;1;2;2;90;7;800;38;mq;mq;100690;mq;mq;-360;mq;mq;mq;mq;280.850000;mq;mq;8.600000;10.500000;-10;1;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;1.600000;mq;mq;mq;mq;5;8;660;5;6;1750;mq;mq;mq;mq;mq;mq;
07181;20161019120000;101940;-180;8;250;6.800000;285.050000;279.750000;70;54500;0;mq;mq;100;2;800;mq;mq;mq;97870;mq;mq;-450;mq;mq;mq;mq;279.950000;mq;mq;11.000000;11.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;1.400000;mq;mq;mq;mq;1;mq;720;8;mq;1740;mq;8;mq;mq;mq;mq;
07190;20161019120000;101940;-180;8;220;5.300000;285.750000;278.850000;63;45080;0;mq;mq;100;7;1250;mq;mq;mq;100130;mq;mq;-430;mq;mq;mq;mq;280.750000;mq;mq;8.400000;8.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.800000;0.800000;mq;mq;mq;mq;4;mq;1200;7;mq;1440;8;mq;1620;mq;mq;mq;
07207;20161019120000;102540;-120;8;310;2.600000;289.050000;279.150000;52;20000;1;0;mq;50;3;800;33;26;mq;102020;mq;mq;-200;mq;mq;mq;mq;mq;mq;mq;5.400000;6.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;2;8;1000;2;3;2500;1;9;800;mq;mq;mq;
07222;20161019120000;102440;-160;8;310;1.000000;286.750000;279.350000;61;59840;0;mq;mq;100;5;1250;mq;mq;mq;102120;mq;mq;-250;mq;mq;mq;mq;277.250000;mq;mq;2.600000;5.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;0.600000;mq;mq;mq;mq;5;mq;1200;8;mq;1560;mq;mq;mq;mq;mq;mq;
07240;20161019120000;102350;-150;8;290;2.700000;287.450000;278.550000;55;60000;0;mq;mq;mq;4;1250;mq;mq;mq;101000;mq;mq;-280;mq;mq;mq;mq;278.350000;mq;mq;5.500000;6.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.600000;mq;mq;mq;mq;3;mq;1230;4;mq;1410;mq;mq;mq;mq;mq;mq;
