ptt dej;gouter;soiree;apres dejeuner;apres diner;tt moment;maison;travail;salon de t;amis;resto;bar;variete;comment;sucre;forme;lieuachat;type;sexe;CSP;Sport;age;age_Q;frequence;evasion-exotisme;spiritualite;bon pr la sante;diuretique;convivialite;absorption fer;feminin;raffine;amaigrissant;excitant;relaxant;ss effet sante
ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;noir;pur;sucre;sachet;GMS;t_inconnu;H;cadre moyen;sportif;39;35-44;1/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;noir;lait;Pas.sucre;sachet;GMS;t_variable;F;cadre moyen;sportif;45;45-59;1/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;excitant;Pas.relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;soiree;Pas.apres dej;apres diner;Pas.tt moment;maison;travail;Pas.salon de t;amis;resto;Pas.bar;parfume;pur;Pas.sucre;sachet;GMS;t_variable;F;autre actif;sportif;47;45-59;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;pur;sucre;sachet;GMS;t_variable;H;etudiant;Pas.sportif;23;15-24;1/jour;evasion-exotisme;spiritualite;bon pr la sante;Pas.diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;sachet;GMS;t_variable;H;employe;sportif;48;45-59;+ de 2/jour;evasion-exotisme;spiritualite;Pas.bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;sachet;GMS;t_MDD;H;etudiant;sportif;21;15-24;1/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;sachet;GMS;t_variable;H;cadre sup;sportif;37;35-44;3 à 6/sem;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;noir;lait;Pas.sucre;sachet;GMS;t_variable;F;cadre moyen;sportif;36;35-44;1 à 2/sem;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;lait;Pas.sucre;sachet+vrac;GMS+mag.spe.;t_haut_de_gamme;H;cadre sup;sportif;40;35-44;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;salon de t;Pas.amis;Pas.resto;Pas.bar;noir;pur;Pas.sucre;sachet+vrac;GMS+mag.spe.;t_haut_de_gamme;H;cadre sup;Pas.sportif;37;35-44;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
